,label,target
0,"""나는 알쏭달쏭 미술관 관장 '<인물0>'란다. 이곳은 신기하고 괴상한 작품으로 가득하지", 이렇게 현대미술은 표현 방법이나 주제 또 재료와 도구들이 아주 아주 다양해졌답니다.
1,<인물1>은 어려서부터 책을 참 좋아했어요. 다섯 살 때는 할머니한테 천재문을 배웠죠, 일제 식민지 시절 온갖 어려움을 이겨내면서 어린이 운동에 힘쓴 <인물1> 선생님은 우리 친구들의 영원한 친구랍니다.
2,"텔레비전도 재미있는 그림책도 없었던 옛날의 어린이들은 무엇을 하고 놀았을까요? ""옛날에 어린이들은 아마 굉장히 심심하고 외로웠을 거야."" ""그런데 어린이라는 말은 어떻게 생겨났을까?"" 그럼 지금부터 어린이라는 말과 어린이 날이 어떻게 생겼는지 옛날 이야기를 들어볼까요", 어린이날을 맞아서 우리 친구들이 더더욱 따뜻하고 행복한 일들이 많았으면 좋겠답니다.
3,"""따뜻한 봄바람이 살랑살랑 불고 겨울에 움츠렸던 몸이 움찔움찔. 얘들아 나랑 놀자 어깨동무 씨 동무 하자"," 누구 연이 더 높이 올라갈까?"" ."
4,우리 할아버지입니다. 어려서부터 나는 할머니와 한 방을 썼어요, 금메달을 빼앗긴 슬픈 마라톤 영웅입니다.
5,<인물3>네 집 뒷편에 아주 아주 작은 집이 또 하나 있어요. 바로 생쥐네 집이었죠, 김장독에 김치가 가득 가득하니 올겨울 <인물3>네 집과 생쥐의 집은 걱정이 없겠죠.
6,우리 집에 나무가 있다면 정말 좋을거야. 봄이면 아름다운 꽃이 피겠지, 그 이름을 하나하나 알아가는 것도 나무를 심는 것만큼 신나고 의미 있는 일이 될거랍니다.
7,어느 무더운 여름날이었어 가만히 있어도 땀이 뻘뻘. 그늘에 앉아도 숨이 턱턱 가끔씩 부는 바람은 뜨거운 입김만 훅훅 뱉어냈지, “많이 배고프지? 어서 먹어 따뜻한 담요도 덮으렴.
8,"날이 뿌옇게 밝아오른 이른 아침, 당나귀가 비척비척 끌려나왔어. ""어이구 등이야 아이고 다리야"," ""아이고 내가 내가 당했구나."
9,"엉금엉금 거<인물47> 숲길을 걸어가는데 깡충 깡충 지나가던 토끼가 거북을 가로막았어요. ""느림보 거북아",” 엉금엉금 거<인물47>가 깡충깡충 토끼를 이겼답니다.
10,"햇볕은 쨍쨍 바람은 쌩쌩. 햇님과 바람이 맞붙으면 과연 누구 힘이 더 셀까요? ""물어보나마나 그야 내가 더 세지", 바람은 그만 꼬리를 내리고 사르르 떠나버렸답니다.
11,포동이는 어디에 있든지 눈에 가장 잘 띄는 아기 돼지예요. 왜냐하면 포동이의 얼굴은 누구보다도 포동포동했기 때문이죠,” 포동이는 즐겁게 뛰어갔습니다.
